code,areaName,home,metro,train,bus,taxi,motorcycle,carDriver,carPassenger,bicycle,foot,other,noWork
W92000004,Wales,350470,595,11559,31448,7606,4642,772621,66045,15081,96676,11702,1739043
E12000001,North East,282172,10649,6531,54868,11873,2762,592874,57668,16089,88091,14476,1508957
E12000002,North West,913829,19803,37881,144376,38856,11186,1661538,154251,57624,267791,34608,4075652
E12000003,Yorkshire and The Humber,637370,3900,21030,109745,28026,8778,1253536,121906,47760,204643,24676,3019405
E12000004,East Midlands,586025,5417,10629,73595,15607,8932,1209617,113595,44716,182625,21566,2607730
E12000005,West Midlands,676936,4740,28775,109894,29931,9093,1396152,133762,38436,185913,25256,3311868
E12000006,East of England,966487,18366,69954,61931,16936,13632,1445280,114537,70857,219725,30935,3306433
E12000007,London,1836823,431842,231074,386068,22544,30404,897111,63883,128833,279453,52040,4439651
E12000008,South East,1603079,8734,98706,113131,20854,22226,1976300,156802,86468,340737,44742,4806285
E12000009,South West,818531,1265,13321,75929,8257,17194,1319538,100997,63427,248004,25871,3008852
